

Date

Name, Symbol, Rank, Total Supply, Max Supply, Price in USD, Percent Change Last Hour, Percent Change Last 24 Hours, Percent Change Last Week
Litecoin, LTC, 6, 56822498.0, 84000000.0, 125.603, -0.01, -0.01, 7.19
Bitcoin, BTC, 1, 17073212.0, 21000000.0, 7714.25, -0.17, -0.17, 5.18
Titcoin, TIT, 1174, 49898202.0, None, 0.0043872, -0.12, -0.12, -7.86

Date

Name, Symbol, Rank, Total Supply, Max Supply, Price in USD, Percent Change Last Hour, Percent Change Last 24 Hours, Percent Change Last Week
Bitcoin, BTC, 1, 17080675.0, 21000000.0, 7700.2, -0.03, -0.03, 1.96
Litecoin, LTC, 6, 56878548.0, 84000000.0, 121.389, -0.19, -0.19, 1.75
Titcoin, TIT, 977, 49898202.0, None, 0.00446398, -0.04, -0.04, -5.96
ReddCoin, RDD, 74, 28808713174.0, None, 0.00685001, 0.35, 0.35, 6.98

Date

Name, Symbol, Rank, Total Supply, Max Supply, Price in USD,Percent Change Last Hour, Percent Change Last 24 Hours,Percent Change Last Week
Bitcoin, BTC, 1, 17160625.0, 21000000.0, 7339.46, -0.49, -0.49, 17.45
